Crop,State,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,Assam,73814,2051.4,7024878.38,22882.34,0.796086957
Arhar/Tur,Assam,6637,2051.4,631643.29,2057.47,0.710434783
Castor seed,Assam,796,2051.4,75755.32,246.76,0.238333333
Coconut ,Assam,19656,2051.4,1870661.52,6093.36,5238.051739
Cotton(lint),Assam,1739,2051.4,165500.63,539.09,0.420909091
Dry chillies,Assam,13587,2051.4,1293074.79,4211.97,0.643636364
Gram,Assam,2979,2051.4,283511.43,923.49,0.465454545
Jute,Assam,94520,2051.4,8995468.4,29301.2,9.919565217
Linseed,Assam,10098,2051.4,961026.66,3130.38,0.461363636
Maize,Assam,19216,2051.4,1828786.72,5956.96,0.615652174
Mesta,Assam,5915,2051.4,562930.55,1833.65,4.568947368
Niger seed,Assam,9914,2051.4,943515.38,3073.34,0.482352941
Onion,Assam,7832,2051.4,745371.44,2427.92,2.342608696
Other  Rabi pulses,Assam,108297,2051.4,10306625.49,33572.07,0.520869565
Potato,Assam,75259,2051.4,7162399.03,23330.29,7.561304348
Rapeseed &Mustard,Assam,279292,2051.4,26580219.64,86580.52,0.554782609
Rice,Assam,607358,2051.4,57802260.86,188280.98,0.780869565
Rice,Assam,174974,2051.4,16652275.58,54241.94,1.060434783
Rice,Assam,1743321,2051.4,165911859.6,540429.51,0.941304348
Sesamum,Assam,15765,2051.4,1500355.05,4887.15,0.487391304
Small millets,Assam,10490,2051.4,998333.3,3251.9,0.473
Sugarcane,Assam,31318,2051.4,2980534.06,9708.58,41.89695652
Sweet potato,Assam,9380,2051.4,892694.6,2907.8,3.440434783
Tapioca,Assam,2465,2051.4,234594.05,764.15,4.41826087
Tobacco,Assam,433,2051.4,41208.61,134.23,0.38
Turmeric,Assam,10071,2051.4,958457.07,3122.01,0.67
Wheat,Assam,84698,2051.4,8060708.66,26256.38,1.25952381
Arecanut,Karnataka,93100,1266.7,8860327,28861,1.293571429
Arhar/Tur,Karnataka,421810,1266.7,40143657.7,130761.1,0.268235294
Bajra,Karnataka,301149,1266.7,28660350.33,93356.19,0.404545455
Bajra,Karnataka,820,1266.7,78039.4,254.2,0.81
Black pepper,Karnataka,3825,1266.7,364025.25,1185.75,0.4375
Cardamom,Karnataka,21230,1266.7,2020459.1,6581.3,0.058571429
Coriander,Karnataka,17317,1266.7,1648058.89,5368.27,0.121333333
Dry chillies,Karnataka,186579,1266.7,17756723.43,57839.49,1.078333333
Dry chillies,Karnataka,4565,1266.7,434451.05,1415.15,1.869444444
Garlic,Karnataka,5061,1266.7,481655.37,1568.91,1.585
Ginger,Karnataka,3619,1266.7,344420.23,1121.89,1.262307692
Groundnut,Karnataka,847666,1266.7,80672373.22,262776.46,0.709411765
Groundnut,Karnataka,192416,1266.7,18312230.72,59648.96,1.133333333
Horse-gram,Karnataka,178872,1266.7,17023248.24,55450.32,0.45
Horse-gram,Karnataka,163173,1266.7,15529174.41,50583.63,0.514705882
Jowar,Karnataka,389690,1266.7,37086797.3,120803.9,1.228
Jowar,Karnataka,1501172,1266.7,142866539.2,465363.32,0.510714286
Jowar,Karnataka,6137,1266.7,584058.29,1902.47,2.470909091
Maize,Karnataka,502797,1266.7,47851190.49,155867.07,2.687777778
Maize,Karnataka,48844,1266.7,4648483.48,15141.64,1.98
Maize,Karnataka,9730,1266.7,926004.1,3016.3,2.165714286
Ragi,Karnataka,897921,1266.7,85455141.57,278355.51,1.191333333
Ragi,Karnataka,27104,1266.7,2579487.68,8402.24,1.312222222
Ragi,Karnataka,13521,1266.7,1286793.57,4191.51,1.847777778
Rice,Karnataka,1031530,1266.7,98170710.1,319774.3,2.2335
Rice,Karnataka,53889,1266.7,5128616.13,16705.59,2.073846154
Rice,Karnataka,268044,1266.7,25509747.48,83093.64,2.829444444
Sugarcane,Karnataka,308857,1266.7,29393920.69,95745.67,91.74736842
Turmeric,Karnataka,4342,1266.7,413228.14,1346.02,4.452941176
Wheat,Karnataka,250698,1266.7,23858928.66,77716.38,0.548333333
Arecanut,Kerala,76145,3252.4,7246719.65,23604.95,1.147857143
Black pepper,Kerala,173855,3252.4,16545780.35,53895.05,0.240714286
Cashewnut,Kerala,96073,3252.4,9143267.41,29782.63,0.589285714
Coconut ,Kerala,884344,3252.4,84163018.48,274146.64,5376.054286
Tapioca,Kerala,132875,3252.4,12645713.75,41191.25,22.80357143
Arecanut,Meghalaya,9569,3818.2,910681.73,2966.39,1.245714286
Arhar/Tur,Meghalaya,865,3818.2,82322.05,268.15,0.806666667
Banana,Meghalaya,5239,3818.2,498595.63,1624.09,11.20714286
Castor seed,Meghalaya,30,3818.2,2855.1,9.3,0.49
Cotton(lint),Meghalaya,7544,3818.2,717962.48,2338.64,0.796666667
Dry chillies,Meghalaya,1766,3818.2,168070.22,547.46,0.64
Ginger,Meghalaya,7357,3818.2,700165.69,2280.67,6.054285714
Gram,Meghalaya,443,3818.2,42160.31,137.33,0.613333333
Jute,Meghalaya,4243,3818.2,403806.31,1315.33,8.436666667
Linseed,Meghalaya,50,3818.2,4758.5,15.5,0.44
Maize,Meghalaya,17175,3818.2,1634544.75,5324.25,1.444285714
Mesta,Meghalaya,4688,3818.2,446156.96,1453.28,4.68
Mesta,Meghalaya,861,3818.2,81941.37,266.91,0.7525
Other  Rabi pulses,Meghalaya,1909,3818.2,181679.53,591.79,0.777142857
Potato,Meghalaya,20764,3818.2,1976109.88,6436.84,8.641428571
Rapeseed &Mustard,Meghalaya,6914,3818.2,658005.38,2143.34,0.608571429
Rice,Meghalaya,105170,3818.2,10009028.9,32602.7,1.378571429
Sesamum,Meghalaya,1326,3818.2,126195.42,411.06,0.575714286
Small millets,Meghalaya,2804,3818.2,266856.68,869.24,0.861428571
Soyabean,Meghalaya,898,3818.2,85462.66,278.38,0.921428571
Sugarcane,Meghalaya,82,3818.2,7803.94,25.42,2.352
Sweet potato,Meghalaya,5212,3818.2,496026.04,1615.72,3.221428571
Tapioca,Meghalaya,3959,3818.2,376778.03,1227.29,6.537142857
Tobacco,Meghalaya,742,3818.2,70616.14,230.02,0.618
Turmeric,Meghalaya,1401,3818.2,133333.17,434.31,5.425714286
Wheat,Meghalaya,4287,3818.2,407993.79,1328.97,1.385
Arecanut,West Bengal,8058,1852.9,766879.86,2497.98,1.691764706
Arhar/Tur,West Bengal,3630,1852.9,345467.1,1125.3,0.777692308
Bajra,West Bengal,207,1852.9,19700.19,64.17,0.426666667
Barley,West Bengal,6116,1852.9,582059.72,1895.96,1.68
Cardamom,West Bengal,2674,1852.9,254484.58,828.94,0
Castor seed,West Bengal,660,1852.9,62812.2,204.6,0.07
Coconut ,West Bengal,24273,1852.9,2310061.41,7524.63,13003.78778
Cotton(lint),West Bengal,26000,1852.9,2474420,8060,2
Dry chillies,West Bengal,64034,1852.9,6094115.78,19850.54,0.942777778
Gram,West Bengal,25485,1852.9,2425407.45,7900.35,0.5975
Groundnut,West Bengal,29615,1852.9,2818459.55,9180.65,1.13
Horse-gram,West Bengal,5645,1852.9,537234.65,1749.95,0.438888889
Jowar,West Bengal,948,1852.9,90221.16,293.88,0.482
Jute,West Bengal,641574,1852.9,61058597.58,198887.94,13.44588235
Khesari,West Bengal,25261,1852.9,2404089.37,7830.91,1.095882353
Linseed,West Bengal,16486,1852.9,1568972.62,5110.66,0.251538462
Maize,West Bengal,35469,1852.9,3375584.73,10995.39,2.658461538
Masoor,West Bengal,51202,1852.9,4872894.34,15872.62,0.662352941
Mesta,West Bengal,9689,1852.9,922102.13,3003.59,9.154166667
Moong(Green Gram),West Bengal,1490,1852.9,141803.3,461.9,0.548888889
Moong(Green Gram),West Bengal,3269,1852.9,311110.73,1013.39,0.542857143
Moong(Green Gram),West Bengal,9959,1852.9,947798.03,3087.29,0.046
Niger seed,West Bengal,50808100,1852.9,4835406877,15750511,0.698888889
Niger seed,West Bengal,6512,1852.9,619747.04,2018.72,0.40375
Other Kharif pulses,West Bengal,1279,1852.9,121722.43,396.49,0.585
Potato,West Bengal,284015,1852.9,27029707.55,88044.65,18.23722222
Ragi,West Bengal,12607,1852.9,1199808.19,3908.17,0.986
Rapeseed &Mustard,West Bengal,327123,1852.9,31132295.91,101408.13,0.718333333
Rice,West Bengal,423121,1852.9,40268425.57,131167.51,1.837222222
Rice,West Bengal,1206829,1852.9,114853915.9,374116.99,2.843888889
Rice,West Bengal,4270328,1852.9,406407115.8,1323801.68,1.985555556
Safflower,West Bengal,10800,1852.9,1027836,3348,0.2975
Sannhamp,West Bengal,2015,1852.9,191767.55,624.65,4.598571429
Sesamum,West Bengal,127913,1852.9,12173480.21,39653.03,0.649444444
Small millets,West Bengal,5046,1852.9,480227.82,1564.26,0.626666667
Soyabean,West Bengal,1555,1852.9,147989.35,482.05,1.196666667
Sugarcane,West Bengal,25797,1852.9,2455100.49,7997.07,67.83625
Sunflower,West Bengal,278,1852.9,26457.26,86.18,0
Turmeric,West Bengal,12481,1852.9,1187816.77,3869.11,1.661111111
Urad,West Bengal,69271,1852.9,6592521.07,21474.01,1.825
Urad,West Bengal,16694,1852.9,1588767.98,5175.14,0.628333333
Wheat,West Bengal,367374,1852.9,34962983.58,113885.94,1.886666667
Arecanut,Puducherry,66,1434.5875,6520.8,19.14,0.35
Bajra,Puducherry,149,1434.5875,14721.2,43.21,2.17
Black pepper,Puducherry,12,1434.5875,1185.6,3.48,0.58
Coriander,Puducherry,2,1434.5875,197.6,0.58,0.5
Cotton(lint),Puducherry,453,1434.5875,44756.4,131.37,0.84
Dry chillies,Puducherry,8,1434.5875,790.4,2.32,2.75
Groundnut,Puducherry,1046,1434.5875,103344.8,303.34,1.54
Onion,Puducherry,26,1434.5875,2568.8,7.54,16.5
Ragi,Puducherry,112,1434.5875,11065.6,32.48,3.27
Rice,Puducherry,4945,1434.5875,488566,1434.05,2.46
Rice,Puducherry,13961,1434.5875,1379346.8,4048.69,2.555
Rice,Puducherry,5716,1434.5875,564740.8,1657.64,2.55
Sesamum,Puducherry,147,1434.5875,14523.6,42.63,0.806666667
Small millets,Puducherry,4,1434.5875,395.2,1.16,0.75
Sugarcane,Puducherry,2710,1434.5875,267748,785.9,82.595
Tapioca,Puducherry,649,1434.5875,64121.2,188.21,20
Arecanut,Assam,74457,2354.4,7356351.6,21592.53,0.784347826
Arhar/Tur,Assam,7657,2354.4,756511.6,2220.53,0.709130435
Banana,Assam,41885,2354.4,4138238,12146.65,13.78826087
Castor seed,Assam,1728,2354.4,170726.4,501.12,0.411428571
Coconut ,Assam,20166,2354.4,1992400.8,5848.14,6045.886957
Cotton(lint),Assam,1652,2354.4,163217.6,479.08,0.399130435
Dry chillies,Assam,14724,2354.4,1454731.2,4269.96,0.636956522
Gram,Assam,3002,2354.4,296597.6,870.58,0.460454545
Jute,Assam,78702,2354.4,7775757.6,22823.58,9.040869565
Linseed,Assam,10222,2354.4,1009933.6,2964.38,0.480909091
Maize,Assam,19810,2354.4,1957228,5744.9,0.608695652
Mesta,Assam,5260,2354.4,519688,1525.4,4.9105
Niger seed,Assam,8753,2354.4,864796.4,2538.37,0.520555556
Onion,Assam,8083,2354.4,798600.4,2344.07,2.340434783
Other  Rabi pulses,Assam,116141,2354.4,11474730.8,33680.89,0.50826087
Potato,Assam,76958,2354.4,7603450.4,22317.82,7.230434783
Rapeseed &Mustard,Assam,288829,2354.4,28536305.2,83760.41,0.473478261
Rice,Assam,594979,2354.4,58783925.2,172543.91,1.055652174
Rice,Assam,223913,2354.4,22122604.4,64934.77,1.685217391
Rice,Assam,1635230,2354.4,161560724,474216.7,1.395652174
Sesamum,Assam,15940,2354.4,1574872,4622.6,0.485217391
Small millets,Assam,10547,2354.4,1042043.6,3058.63,0.521363636
Sugarcane,Assam,30571,2354.4,3020414.8,8865.59,39.89304348
Sweet potato,Assam,9433,2354.4,931980.4,2735.57,3.435652174
Tapioca,Assam,2798,2354.4,276442.4,811.42,4.445217391
Tobacco,Assam,1465,2354.4,144742,424.85,0.569545455
Turmeric,Assam,10729,2354.4,1060025.2,3111.41,0.666956522
Wheat,Assam,89591,2354.4,8851590.8,25981.39,0.999545455
Arecanut,Goa,1500,2964.9,148200,435,1.21
Banana,Goa,1900,2964.9,187720,551,7.58
Black pepper,Goa,250,2964.9,24700,72.5,0.28
Cashewnut,Goa,52875,2964.9,5224050,15333.75,0.28
Coconut ,Goa,24858,2964.9,2455970.4,7208.82,4867.65
Groundnut,Goa,350,2964.9,34580,101.5,1.18
Groundnut,Goa,1048,2964.9,103542.4,303.92,2.03
Other  Rabi pulses,Goa,8671,2964.9,856694.8,2514.59,1.06
Other Kharif pulses,Goa,1200,2964.9,118560,348,0.27
Ragi,Goa,2500,2964.9,247000,725,0.99
Rice,Goa,41000,2964.9,4050800,11890,2.54
Rice,Goa,15439,2964.9,1525373.2,4477.31,3.04
Sugarcane,Goa,1320,2964.9,130416,382.8,48.48
Arecanut,Karnataka,98047,1260.8,9687043.6,28433.63,6.232
Arhar/Tur,Karnataka,475396,1260.8,46969124.8,137864.84,0.400833333
Bajra,Karnataka,415816,1260.8,41082620.8,120586.64,0.601764706
Bajra,Karnataka,451,1260.8,44558.8,130.79,1.19
Bajra,Karnataka,846,1260.8,83584.8,245.34,0.59
Black pepper,Karnataka,4387,1260.8,433435.6,1272.23,2.238
Cardamom,Karnataka,20218,1260.8,1997538.4,5863.22,0.06
Castor seed,Karnataka,27246,1260.8,2691904.8,7901.34,0.831818182
Coconut ,Karnataka,310399,1260.8,30667421.2,90015.71,4692.261111
Coriander,Karnataka,17935,1260.8,1771978,5201.15,0.118
Cotton(lint),Karnataka,636495,1260.8,62885706,184583.55,1.556521739
Dry chillies,Karnataka,170319,1260.8,16827517.2,49392.51,1.123703704
Garlic,Karnataka,3574,1260.8,353111.2,1036.46,1.459411765
Ginger,Karnataka,3896,1260.8,384924.8,1129.84,12.75944444
Gram,Karnataka,355326,1260.8,35106208.8,103044.54,0.573478261
Groundnut,Karnataka,1012577,1260.8,100042607.6,293647.33,0.8568
Groundnut,Karnataka,217445,1260.8,21483566,63059.05,1.3052
Horse-gram,Karnataka,189486,1260.8,18721216.8,54950.94,0.504615385
Horse-gram,Karnataka,134779,1260.8,13316165.2,39085.91,0.4492
Jowar,Karnataka,420808,1260.8,41575830.4,122034.32,1.305714286
Jowar,Karnataka,1420162,1260.8,140312005.6,411846.98,0.7235
Jowar,Karnataka,8897,1260.8,879023.6,2580.13,2.461333333
Linseed,Karnataka,19806,1260.8,1956832.8,5743.74,0.315
Maize,Karnataka,450472,1260.8,44506633.6,130636.88,3.366
Maize,Karnataka,49922,1260.8,4932293.6,14477.38,1.97952381
Maize,Karnataka,11974,1260.8,1183031.2,3472.46,2.241904762
Moong(Green Gram),Karnataka,311720,1260.8,30797936,90398.8,0.180769231
Moong(Green Gram),Karnataka,15627,1260.8,1543947.6,4531.83,0.438823529
Niger seed,Karnataka,41853,1260.8,4135076.4,12137.37,0.214782609
Onion,Karnataka,79921,1260.8,7896194.8,23177.09,5.363636364
Onion,Karnataka,8882,1260.8,877541.6,2575.78,8.936315789
Onion,Karnataka,4797,1260.8,473943.6,1391.13,11.86631579
Peas & beans (Pulses),Karnataka,1730,1260.8,170924,501.7,9.265882353
Peas & beans (Pulses),Karnataka,494,1260.8,48807.2,143.26,8.948181818
Peas & beans (Pulses),Karnataka,1583,1260.8,156400.4,459.07,7.827
Potato,Karnataka,28755,1260.8,2840994,8338.95,12.37333333
Potato,Karnataka,4173,1260.8,412292.4,1210.17,18.90714286
Potato,Karnataka,1137,1260.8,112335.6,329.73,17.6
Potato,Karnataka,268,1260.8,26478.4,77.72,14.59
Ragi,Karnataka,986173,1260.8,97433892.4,285990.17,1.418
Ragi,Karnataka,33833,1260.8,3342700.4,9811.57,1.361
Ragi,Karnataka,10673,1260.8,1054492.4,3095.17,2.239230769
Rapeseed &Mustard,Karnataka,6673,1260.8,659292.4,1935.17,0.210625
Rice,Karnataka,1079193,1260.8,106624268.4,312965.97,2.310740741
Rice,Karnataka,51782,1260.8,5116061.6,15016.78,2.054285714
Rice,Karnataka,295830,1260.8,29228004,85790.7,2.99375
Safflower,Karnataka,97487,1260.8,9631715.6,28271.23,0.616428571
Sesamum,Karnataka,115250,1260.8,11386700,33422.5,0.417307692
Soyabean,Karnataka,65309,1260.8,6452529.2,18939.61,1.060588235
Sunflower,Karnataka,430676,1260.8,42550788.8,124896.04,0.382608696
Sunflower,Karnataka,359514,1260.8,35519983.2,104259.06,0.390416667
Sunflower,Karnataka,43156,1260.8,4263812.8,12515.24,0.595217391
Turmeric,Karnataka,5007,1260.8,494691.6,1452.03,4.682380952
Wheat,Karnataka,268981,1260.8,26575322.8,78004.49,0.848823529
Arecanut,Kerala,73639,3151.5,7275533.2,21355.31,0.797857143
Banana,Kerala,30521,3151.5,3015474.8,8851.09,12.85714286
Black pepper,Kerala,182384,3151.5,18019539.2,52891.36,0.261428571
Cardamom,Kerala,41449,3151.5,4095161.2,12020.21,0.045555556
Cashewnut,Kerala,91268,3151.5,9017278.4,26467.72,0.484285714
Coconut ,Kerala,882288,3151.5,87170054.4,255863.52,5304.749286
Cotton(lint),Kerala,10999,3151.5,1086701.2,3189.71,1.61
Dry chillies,Kerala,297,3151.5,29343.6,86.13,0.937777778
Garlic,Kerala,742,3151.5,73309.6,215.18,17
Ginger,Kerala,11107,3151.5,1097371.6,3221.03,2.93
Groundnut,Kerala,7021,3151.5,693674.8,2036.09,0.62
Jowar,Kerala,2177,3151.5,215087.6,631.33,0.505
Ragi,Kerala,1157,3151.5,114311.6,335.53,0.81
Rice,Kerala,120217,3151.5,11877439.6,34862.93,1.856923077
Rice,Kerala,57700,3151.5,5700760,16733,2.116153846
Rice,Kerala,174714,3151.5,17261743.2,50667.06,1.937142857
Sesamum,Kerala,3303,3151.5,326336.4,957.87,0.467272727
Sugarcane,Kerala,6160,3151.5,608608,1786.4,64.83
Sweet potato,Kerala,1099,3151.5,108581.2,318.71,11.718
Tapioca,Kerala,112774,3151.5,11142071.2,32704.46,25.51785714
Tobacco,Kerala,41,3151.5,4050.8,11.89,5.56
Turmeric,Kerala,3706,3151.5,366152.8,1074.74,1.997857143
Arecanut,Meghalaya,9585,6552.7,946998,2779.65,1.151666667
Arhar/Tur,Meghalaya,861,6552.7,85066.8,249.69,0.803333333
Banana,Meghalaya,5194,6552.7,513167.2,1506.26,11.26714286
Cotton(lint),Meghalaya,7549,6552.7,745841.2,2189.21,0.796666667
Dry chillies,Meghalaya,1764,6552.7,174283.2,511.56,0.598571429
Ginger,Meghalaya,7403,6552.7,731416.4,2146.87,6.008571429
Gram,Meghalaya,463,6552.7,45744.4,134.27,0.61
Jute,Meghalaya,4241,6552.7,419010.8,1229.89,7.553333333
Linseed,Meghalaya,51,6552.7,5038.8,14.79,0.45
Maize,Meghalaya,17219,6552.7,1701237.2,4993.51,1.457142857
Mesta,Meghalaya,4681,6552.7,462482.8,1357.49,4.58
Mesta,Meghalaya,871,6552.7,86054.8,252.59,0.68
Other  Rabi pulses,Meghalaya,1938,6552.7,191474.4,562.02,0.755714286
Potato,Meghalaya,20753,6552.7,2050396.4,6018.37,7.738571429
Rapeseed &Mustard,Meghalaya,6916,6552.7,683300.8,2005.64,0.635714286
Rice,Meghalaya,105402,6552.7,10413717.6,30566.58,1.51
Sesamum,Meghalaya,1322,6552.7,130613.6,383.38,0.575714286
Small millets,Meghalaya,2823,6552.7,278912.4,818.67,0.871428571
Soyabean,Meghalaya,899,6552.7,88821.2,260.71,0.881428571
Sugarcane,Meghalaya,83,6552.7,8200.4,24.07,2.328
Sweet potato,Meghalaya,5181,6552.7,511882.8,1502.49,3.302857143
Tapioca,Meghalaya,3963,6552.7,391544.4,1149.27,6.547142857
Tobacco,Meghalaya,742,6552.7,73309.6,215.18,0.61
Turmeric,Meghalaya,1375,6552.7,135850,398.75,5.624285714
Wheat,Meghalaya,4287,6552.7,423555.6,1243.23,1.605
Arecanut,West Bengal,8239,2152.5,814013.2,2389.31,1.595294118
Arhar/Tur,West Bengal,2606,2152.5,257472.8,755.74,0.756923077
Bajra,West Bengal,175,2152.5,17290,50.75,0.436666667
Barley,West Bengal,5938,2152.5,586674.4,1722.02,1.10375
Cardamom,West Bengal,2875,2152.5,284050,833.75,0.24
Castor seed,West Bengal,54,2152.5,5335.2,15.66,0.7
Coconut ,West Bengal,24616,2152.5,2432060.8,7138.64,12448.06222
Cotton(lint),West Bengal,200,2152.5,19760,58,0.37
Dry chillies,West Bengal,64354,2152.5,6358175.2,18662.66,0.890555556
Ginger,West Bengal,9398,2152.5,928522.4,2725.42,1.449444444
Gram,West Bengal,23286,2152.5,2300656.8,6752.94,0.875
Groundnut,West Bengal,30157,2152.5,2979511.6,8745.53,1.128571429
Horse-gram,West Bengal,4958,2152.5,489850.4,1437.82,0.422
Jowar,West Bengal,886,2152.5,87536.8,256.94,0.465
Jute,West Bengal,612066,2152.5,60472120.8,177499.14,13.24705882
Khesari,West Bengal,23300,2152.5,2302040,6757,0.774666667
Linseed,West Bengal,10323,2152.5,1019912.4,2993.67,0.24
Maize,West Bengal,38519,2152.5,3805677.2,11170.51,2.634
Masoor,West Bengal,51919,2152.5,5129597.2,15056.51,0.600588235
Mesta,West Bengal,9911,2152.5,979206.8,2874.19,8.453846154
Moong(Green Gram),West Bengal,822,2152.5,81213.6,238.38,0.5075
Moong(Green Gram),West Bengal,2729,2152.5,269625.2,791.41,0.61
Moong(Green Gram),West Bengal,9320,2152.5,920816,2702.8,0.312857143
Niger seed,West Bengal,7587,2152.5,749595.6,2200.23,0.4075
Other Kharif pulses,West Bengal,768,2152.5,75878.4,222.72,0.516
Peas & beans (Pulses),West Bengal,9230,2152.5,911924,2676.7,0.70625
Potato,West Bengal,318199,2152.5,31438061.2,92277.71,18.95944444
Ragi,West Bengal,12895,2152.5,1274026,3739.55,0.91
Rapeseed &Mustard,West Bengal,344358,2152.5,34022570.4,99863.82,0.667222222
Rice,West Bengal,425002,2152.5,41990197.6,123250.58,1.751111111
Rice,West Bengal,1450473,2152.5,143306732.4,420637.17,3.22
Rice,West Bengal,4028620,2152.5,398027656,1168299.8,1.781666667
Safflower,West Bengal,48,2152.5,4742.4,13.92,0.4575
Sannhamp,West Bengal,1800,2152.5,177840,522,4.971428571
Sesamum,West Bengal,100425,2152.5,9921990,29123.25,0.741111111
Small millets,West Bengal,3742,2152.5,369709.6,1085.18,0.575714286
Small millets,West Bengal,1235,2152.5,122018,358.15,1.035
Soyabean,West Bengal,800,2152.5,79040,232,0.481666667
Sugarcane,West Bengal,26949,2152.5,2662561.2,7815.21,75.314375
Sunflower,West Bengal,149,2152.5,14721.2,43.21,0.71
Turmeric,West Bengal,12763,2152.5,1260984.4,3701.27,1.569444444
Urad,West Bengal,58878,2152.5,5817146.4,17074.62,0.402222222
Urad,West Bengal,15112,2152.5,1493065.6,4382.48,0.649090909
Wheat,West Bengal,367472,2152.5,36306233.6,106566.88,1.870555556
Arecanut,Assam,73464,2201.8,7796734.32,19835.28,0.746086957
Arhar/Tur,Assam,7266,2201.8,771140.58,1961.82,0.707826087
Banana,Assam,41922,2201.8,4449181.86,11318.94,13.74652174
Castor seed,Assam,1726,2201.8,183180.38,466.02,0.423333333
Coconut ,Assam,20238,2201.8,2147858.94,5464.26,5672.116522
Cotton(lint),Assam,1637,2201.8,173734.81,441.99,0.41173913
Dry chillies,Assam,14418,2201.8,1530182.34,3892.86,0.636956522
Gram,Assam,2336,2201.8,247919.68,630.72,0.470454545
Jute,Assam,73545,2201.8,7805330.85,19857.15,9.13173913
Linseed,Assam,10248,2201.8,1087620.24,2766.96,0.502727273
Maize,Assam,19708,2201.8,2091610.04,5321.16,0.613913043
Mesta,Assam,5177,2201.8,549435.01,1397.79,4.622380952
Niger seed,Assam,8904,2201.8,944981.52,2404.08,0.548947368
Onion,Assam,7365,2201.8,781647.45,1988.55,2.322173913
Other  Rabi pulses,Assam,106576,2201.8,11310910.88,28775.52,0.532173913
Potato,Assam,76748,2201.8,8145265.24,20721.96,8.062608696
Rapeseed &Mustard,Assam,286241,2201.8,30378757.33,77285.07,0.479565217
Rice,Assam,557220,2201.8,59137758.6,150449.4,1.094782609
Rice,Assam,294654,2201.8,31271629.02,79556.58,1.990434783
Rice,Assam,1793994,2201.8,190396583.2,484378.38,1.501304348
Sesamum,Assam,15143,2201.8,1607126.59,4088.61,0.485217391
Small millets,Assam,10681,2201.8,1133574.53,2883.87,0.502727273
Sugarcane,Assam,29107,2201.8,3089125.91,7858.89,40.43478261
Sweet potato,Assam,8955,2201.8,950394.15,2417.85,3.409130435
Tapioca,Assam,2836,2201.8,300984.68,765.72,4.436521739
Tobacco,Assam,1373,2201.8,145716.49,370.71,0.573913043
Turmeric,Assam,10980,2201.8,1165307.4,2964.6,0.667391304
Wheat,Assam,76310,2201.8,8098780.3,20603.7,1.256818182
Arecanut,Goa,1550,3879.3,164501.5,418.5,1.21
Banana,Goa,1950,3879.3,206953.5,526.5,7.44
Black pepper,Goa,275,3879.3,29185.75,74.25,0.44
Cashewnut,Goa,53292,3879.3,5655879.96,14388.84,0.32
Coconut ,Goa,24975,3879.3,2650596.75,6743.25,4868.07
Groundnut,Goa,350,3879.3,37145.5,94.5,1.47
Groundnut,Goa,1004,3879.3,106554.52,271.08,1.76
Other  Rabi pulses,Goa,9227,3879.3,979261.51,2491.29,0.91
Other Kharif pulses,Goa,1000,3879.3,106130,270,0.58
Ragi,Goa,1000,3879.3,106130,270,1.07
Rice,Goa,40500,3879.3,4298265,10935,2.38
Rice,Goa,16213,3879.3,1720685.69,4377.51,2.69
Sugarcane,Goa,1335,3879.3,141683.55,360.45,51.27
Arecanut,Kerala,81941,2914.6,8696398.33,22124.07,0.831428571
Banana,Kerala,39046,2914.6,4143951.98,10542.42,10.36285714
Black pepper,Kerala,198406,2914.6,21056828.78,53569.62,0.193571429
Cardamom,Kerala,41491,2914.6,4403439.83,11202.57,0.056666667
Cashewnut,Kerala,89403,2914.6,9488340.39,24138.81,0.491428571
Coconut ,Kerala,925035,2914.6,98173964.55,249759.45,5581.025714
Cotton(lint),Kerala,4772,2914.6,506452.36,1288.44,1.61
Dry chillies,Kerala,312,2914.6,33112.56,84.24,0.975
Garlic,Kerala,849,2914.6,90104.37,229.23,17
Ginger,Kerala,11264,2914.6,1195448.32,3041.28,3.159285714
Groundnut,Kerala,6921,2914.6,734525.73,1868.67,0.37
Jowar,Kerala,2529,2914.6,268402.77,682.83,0.255
Ragi,Kerala,870,2914.6,92333.1,234.9,0.815
Rice,Kerala,121525,2914.6,12897448.25,32811.75,2.081538462
Rice,Kerala,58021,2914.6,6157768.73,15665.67,2.292857143
Rice,Kerala,170228,2914.6,18066297.64,45961.56,2.097142857
Sesamum,Kerala,2612,2914.6,277211.56,705.24,0.374545455
Sugarcane,Kerala,5780,2914.6,613431.4,1560.6,88.2225
Sweet potato,Kerala,989,2914.6,104962.57,267.03,11.79636364
Tapioca,Kerala,111922,2914.6,11878281.86,30218.94,24.25785714
Tobacco,Kerala,44,2914.6,4669.72,11.88,5.57
Turmeric,Kerala,3971,2914.6,421442.23,1072.17,1.999285714
Arecanut,Meghalaya,9645,6200.3,1023623.85,2604.15,1.245
Arhar/Tur,Meghalaya,871,6200.3,92439.23,235.17,0.78
Banana,Meghalaya,5319,6200.3,564505.47,1436.13,11.16285714
Castor seed,Meghalaya,27,6200.3,2865.51,7.29,0.515
Cotton(lint),Meghalaya,7455,6200.3,791199.15,2012.85,0.8
Dry chillies,Meghalaya,1790,6200.3,189972.7,483.3,0.635714286
Ginger,Meghalaya,7606,6200.3,807224.78,2053.62,5.765714286
Gram,Meghalaya,460,6200.3,48819.8,124.2,0.616666667
Jute,Meghalaya,4235,6200.3,449460.55,1143.45,6.76
